tweets,ClassLabel
a a woman you shouldnt complain about cleaning up your house a a man you should always take the trash out,2
rtboydatscoldtygadwnbad for cuffindathoeinthe1st place,1
dawg you ever fuck a bitch and she start to cry you be confused a shit,1
she look like a tranny,1
the shit you hear about me might be true or it might be faker than the bitch who told it to ya,1
the shit just blow me claim you so faithful and down for somebody but still fucking with hoe,1
i can not just sit up and hate on another bitch i got too much shit going on,1
cause im tired of you big bitch coming for u skinny girl,1
you might not get y a bitch back thats that,1
hobby include fighting mariam bitch,1
kee k is a bitch she curve everyone loli walked into a conversation like this smh,1
murda gang bitch it gangland,1
so hoe that smoke are loser yea go on ig,1
bad bitch is the only thing that i like,1
bitch get up off me,1
bitch nigga miss me with it,1
bitch plz whatever,1
bitch who do you love,1
bitch get cut off every day b,1
black bottle a bad bitch,1
broke bitch cant tell me nothing,1
cancel that bitch like nino,1
cant you see these hoe wont change,1
fuck no that bitch dont even suck dick the kermit video bout to fuckig up,1
goty a bitch tiptoeing on my hardwood floor,1
her pussy lip like heaven door,1
hoe what it shitting for,1
i met that pussy on ocean dri gave that pussy a pill,1
i need a trippy bitch who fuck on hennessy,1
i spend my money how i want bitch it my business,1
i txt my old bitch my new bitch pussy wetter,1
id say im back to the old me but my old bitch would get excited,1
if you a int bout that murder game pussy nigga shut up,1
if youre toe saint done you pussy stink,1
im done with bitter bitch it a wrap for that if you a angry bird theresa app for that,1
is that ya bitch,1
i taint nothing to cut a bitch off,1
jus meet on now he yamane as bitch shot,1
lame scrying over hoe thats tear of a clown,1
like snoop said in94wedont love these hoe,1
momma said no pussycat inside my doghouse,2
most hated but the hoe favorite 2mws even one,1
nice girl bad make me get naughty bad yello hoe real nice body down south chick like em real thick,1
pimp up pimp up hoe down future voice,1
post a picture of that pussy get200likes,1
pussy is a powerful drug happy humpday,1
quick piece of pussy call it a drive by,1
running round here like some brand new pussy that sb out to get fucked,1
these bitch even worst theyll send them guy for you,1
these hoe like nigga that spend money not talk bout it,1
we dont trust these nigga all these bitch,1
yall nigga b cuffing hoe cause yalla int never have bitch,1
you dodge a bullet all da bitch i cut off pregnant or bound to be thank god,1
young pill chamberlain these bitch love my music,1
teanna trump probably cleaner than most of these twitter hoe but,1
gay nigga couldnt wait to act like bitch tonight,1
and im a steal his cat n replace it with a pitbull rthe a bitch you should do it,1
he gone always be a hoe,1
sonofabitch took my tic tacs i like this movie,1
all i wanna do is get money and fuck model bitch russell simmons,1
i probably wouldnt mind school a much if we didnt have to deal with bitch as teacher re tweet,1
ima fucking fag they said,1
female think dating a pussy is cute now how doe doing this stuff make him a pussy,1
simply addicted to guy woof woof hot scally lad,2
have ya ever asked your bitch for other bitch kanye voice yes,1
how u gone bring ur side bitch to a game where you know yag f friend at i swear,1
woof woof and hot sol,2
l emmie eat a oreo do these dish one oreo lol,2
bitch fuck u may be youll get better just,1
fuck red malone man bitch as nigga h could you please use complete sentence,1
why the eggplant e moji doe y he say he looked like scream lmao,2
hennessey venom gt thats one sexy bitch,1
him seh me pussy wetter then a shower curtain ahmesehwetnessltlmao,1
eagle nation and every eagle need to see that pic i just posted because that bitch just said the most racist shit,1
yo fuck skateboarding ally all some wood pushing faggot man ball is life,1
baby monkey bathtime awww we this is soooo adorable,2
i a int shit damn skippy lol,1
u ever kill a anton the sidewalk and think damn what if that nigga wa on his way to get some pussy nobsmustbgt30 chance,1
0rings0mvps0bitcheslol,1
ppl talk bad about the ghetto hood but a a kid growing up a nigga had fun nnnn nn,1
the fact on tattoo tattoo hesa pussy with not tattooing them nipple,1
bitch be wanting to act like nigga so bad that shit a int cute eeee but nigga act like bitch,1
get worshiping bitch woof woof,1
wow r tim lost are those butt cheek piercings yeah she sa hoe,1
ok is shed rather be a broke bitch shrug shell have to tell me how it work for her,1
queer gay wad,0
faggot read my tweet s after dat kit wasnt even funny lol,1
this bitch wa so ungrateful fr lul whore,1
i been kidnapped yo bitch,1
alsarabssshesabeanersmh you can tell hesa mexican,0
happy birthday n ig thanks yo,1
when ur teacher tell u that u have homework this bitch need to go,1
that nigga wa eating that hoe lol hell yea lol john paul nigga said john paul,1
what would yall lil ugly bald headed bitch do if they stop making make up weave,1
leaf better win this damn game so i can goriot and shit early christmas you better start looting my nig,1
going back to school suck more dick than the hoe who attend it,1
on my way to fuck yobitchmeasa9 year old,1
how come you never bring me food i dont have a car retard,1
if rich now doesnt show up with hella tinder hoe im not his friend anymore chilli brought like like 8prople,1
how bout them cowboy shut up pussy,1
lmao oooo ooo ooo this nigga lt bitch want like for some depressing shit foh,1
girl you know i wa spitting that gsh it to you you wa going lb v bitch plz,1
let me make a couple tweetsoffcuzzopagesoi wont get in twitter jail lmao bitch dont trick me again,1
harlem shake is just an excuse to go full retard for 30 second,1
amen miley okay but she dont need to act like a hoe just bc shes emotionally damaged foh,1
having one loyal female is way yyyy better than having hoe idc,1
pussy licking pussy meow meow stop white people 20148221,1
check out our 12thman cowboy nation even with all those faggot ny fan in the stand,1
what happen to them vixen ent bitch they got ran and threw to the side like a foothill bitch,1
im the bitch okay nude spat wow,1
your e fucking gay black listed hoe holding out for teh god clan anyway,0
the fuck be wrong with these bitch nobody know,1
yall shut upp make me bitch,1
i hate aim pregnant type of bitch,1
got bitch in the dm but i dont ever read em which is yyourtop3,1
baseball season for the win yankee this is where the love started,2
little stupid a bitch i dont fuck with yoo oooo uuuu,1
she really asked me that dead as serious tho all i could say wa bitch whee t lol,1
im an early bird and im a night owl oim wise and have worm,2
overdosing on heavy drug doesnt sound bad tonight i do that pussy shit everyday,2
pitbulls photographed a lovely fairytale creature 8221 they are fairytale creature,2
awfagdonttweetawtomelol,1
a long a the lakers trash from now on i could careless and thats real cc hahaha,2
i didnt say anything tho kiss me then faggot,1
this the iplay soccer cheat on girl and wear khaki coloured cargo haircut yup,2
i could go for a fat as bitch on my lap same,1
17missedcallsdasyopo bitch twitter finna be scream n free money melle,1
y aside bitch gotta know it rule to this shit anybody ask you my cousin from jersey think in bout moving lmm fao,1
3amolospies8221fuckyeah,1
these hoe be thinking meat wont slap they assa in nabru h,1
yall bitch wit no edge be doing the most talking,1
yall still going trick or treating this year or nah hell yea him a bed a sweet tooth bandit steal bitch bag n shit,1
i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,1
if she kiss u with her eye open watch that bitch lmfao,1
you a woulda could a should aa shoe,1
happy bday bitch as nigg apreciate that bitch roll up,1
used to send that bitch up,1
ugly bitch be like im my own wcw duh bitch you a int nobody else s,1
